age;race;earnwke;employed;unemployed;married;union;ne_states;so_states;ce_states;we_states;government;private;self;educ_lths;educ_hs;educ_somecol;educ_aa;educ_bac;educ_adv;female
30;1;307.69;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1
30;1;700;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
37;1;1250;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
36;1;807;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
43;1;576.92;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1
53;1;200.4;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
30;1;760;1;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0
34;1;452;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1
56;1;461.53;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1
46;1;860;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
58;1;416.4;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1
25;1;673;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
40;1;1480;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
38;1;360;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1
42;1;480.76;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1
40;1;;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1
31;1;2115.38;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
27;1;800;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
46;1;1400;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
42;1;250;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1
37;1;1514;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0
38;1;1038.46;1;0;1;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0
57;2;440;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1
36;1;1100;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
31;1;923.07;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
43;3;1380;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0
32;3;1923.07;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
50;1;2153.84;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
48;1;538.46;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1
28;1;240;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1
48;3;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
39;1;440;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
40;1;480.8;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1
35;1;;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0
41;1;184.61;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1
26;1;1346.15;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
27;1;513.05;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1
50;1;807.69;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
42;1;1012;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
30;1;936.15;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0
27;1;640;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1
35;1;2403.84;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0
55;1;2578;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
37;1;398;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1
47;1;761.53;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
42;1;800;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
35;3;640;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
51;1;1538.46;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1
31;1;920;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0
31;1;606;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
48;1;693;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
50;1;715.38;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
35;1;895;0;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
46;1;776;0;1;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0
46;1;384;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1
35;1;2884.61;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
36;1;310;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
54;3;1050;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1
35;1;0.03;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0
54;1;884;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
25;1;400;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1
40;1;;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1
56;1;;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
56;1;;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1
39;1;;1;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1
56;1;787.6;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1
24;1;510;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0
43;1;1086.4;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
42;1;268.4;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1
21;1;400;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
54;1;;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
40;1;1000;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1
35;1;500;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0
22;1;340;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1
47;1;423;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
55;1;1173.07;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
52;1;1000;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1
40;1;942.3;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0
32;1;207.25;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1
62;1;673.07;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
28;1;240;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1
34;1;1538.46;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
39;1;;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
39;1;400;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
43;1;1115.38;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0
41;1;2884.61;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1
62;1;740;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
47;1;700;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
47;1;400;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
26;1;600;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0
35;1;;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
52;1;1634;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
32;3;420;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
29;3;135;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1
61;1;1134.61;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1
49;1;2884.61;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
59;1;769.23;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1
37;1;1200;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
52;1;600;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
56;1;1980.76;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1
30;1;900;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
30;1;1075;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1
52;2;846.15;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1
22;1;210;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
26;3;720;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
53;3;700;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1
40;3;700;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1
56;1;960;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1
30;3;1538;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0
32;1;375;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1
44;3;1153;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
47;1;1346.15;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0
39;1;800;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
51;2;467.2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
45;1;;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0
35;1;1450;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0
53;1;646.56;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
46;1;1730;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
35;1;600;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1
43;1;769;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1
30;1;800;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1
51;1;1384.61;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
50;1;673.07;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1
37;1;1346.15;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
35;1;165;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
26;1;1292.3;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0
44;1;1263;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0
52;1;720;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0
40;3;1000;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1
53;1;900;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0
53;1;538.46;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1
32;1;227;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0
29;1;701.92;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1
49;3;1938.52;1;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1
45;1;1653;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0
60;1;1923.07;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1
31;1;961.53;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0
44;1;400;1;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0
52;1;1000;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0
28;3;375;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0
49;1;800;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0
39;1;860;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1
23;3;423;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
50;1;390;1;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
32;3;1923.07;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
29;3;865.38;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1
